native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
14.746,3.31,4.455,14.915,3.546,14.554,3.102,1.01,1.07,PASS,kvcat_llama3_b8_p2047,8,3,base
14.618,3.448,4.24,14.796,3.598,14.414,3.306,1.01,1.04,PASS,kvcat_llama3_b8_p2047,8,4,base
7.491,3.386,2.213,7.681,3.571,7.447,3.09,1.03,1.05,PASS,kvcat_llama3_b8_p2047,8,4,new
15.174,3.611,4.202,15.585,3.724,14.819,3.376,1.03,1.03,PASS,kvcat_llama3_b8_p2047,16,0,base
7.817,3.546,2.204,7.914,3.65,7.685,3.193,1.01,1.03,PASS,kvcat_llama3_b8_p2047,16,0,new
7.441,3.423,2.174,7.462,3.553,7.378,3.176,1.0,1.04,PASS,kvcat_llama3_b8_p2047,16,1,new
15.003,3.484,4.306,15.268,3.61,14.929,3.345,1.02,1.04,PASS,kvcat_llama3_b8_p2047,16,1,base
15.159,3.701,4.096,15.223,3.82,14.971,3.568,1.0,1.03,PASS,kvcat_llama3_b8_p2047,16,2,base
7.342,3.583,2.049,7.715,3.636,7.285,3.248,1.05,1.01,PASS,kvcat_llama3_b8_p2047,16,2,new
7.761,3.449,2.25,7.892,3.662,7.566,3.223,1.02,1.06,PASS,kvcat_llama3_b8_p2047,16,3,new
14.554,3.609,4.032,15.077,3.752,14.447,3.562,1.04,1.04,PASS,kvcat_llama3_b8_p2047,16,3,base
14.885,3.706,4.017,15.24,3.787,14.806,3.528,1.02,1.02,PASS,kvcat_llama3_b8_p2047,16,4,base
7.795,3.431,2.272,7.903,3.695,7.574,3.27,1.01,1.08,PASS,kvcat_llama3_b8_p2047,16,4,new
0.72,0.39,1.844,1.956,0.462,0.658,0.341,2.72,1.18,PASS,kvcat_llama3_p1023,1,0,base
0.383,0.334,1.146,2.76,0.438,0.351,0.304,7.2,1.31,PASS,kvcat_llama3_p1023,1,0,new
0.332,0.324,1.026,0.631,0.355,0.316,0.257,1.9,1.09,PASS,kvcat_llama3_p1023,1,1,new
0.703,0.372,1.889,1.92,0.454,0.672,0.338,2.73,1.22,PASS,kvcat_llama3_p1023,1,1,base
0.743,0.407,1.826,1.945,0.538,0.693,0.313,2.62,1.32,PASS,kvcat_llama3_p1023,1,2,base
0.363,0.338,1.076,1.557,0.387,0.345,0.264,4.29,1.15,PASS,kvcat_llama3_p1023,1,2,new
0.356,0.33,1.081,1.551,0.391,0.326,0.264,4.35,1.19,PASS,kvcat_llama3_p1023,1,3,new
0.744,0.395,1.881,1.873,0.442,0.725,0.31,2.52,1.12,PASS,kvcat_llama3_p1023,1,3,base
0.7,0.41,1.707,1.936,0.474,0.648,0.338,2.77,1.16,PASS,kvcat_llama3_p1023,1,4,base
0.392,0.338,1.16,1.512,0.408,0.351,0.258,3.85,1.21,PASS,kvcat_llama3_p1023,1,4,new
0.601,0.105,5.731,1.762,0.17,0.563,0.09,2.93,1.62,PASS,kvcat_llama3_p1023,8,0,base
0.316,0.121,2.618,0.696,0.17,0.278,0.091,2.2,1.41,PASS,kvcat_llama3_p1023,8,0,new
0.36,0.136,2.644,1.734,0.194,0.342,0.084,4.82,1.43,PASS,kvcat_llama3_p1023,8,1,new
0.68,0.119,5.699,1.8,0.18,0.63,0.093,2.65,1.51,PASS,kvcat_llama3_p1023,8,1,base
0.707,0.136,5.214,2.183,0.154,0.646,0.087,3.09,1.14,PASS,kvcat_llama3_p1023,8,2,base
0.306,0.075,4.052,1.474,0.177,0.279,0.056,4.82,2.35,PASS,kvcat_llama3_p1023,8,2,new
0.289,0.105,2.751,1.485,0.179,0.265,0.067,5.14,1.71,PASS,kvcat_llama3_p1023,8,3,new
0.696,0.117,5.939,2.159,0.15,0.641,0.089,3.1,1.28,PASS,kvcat_llama3_p1023,8,3,base
0.609,0.124,4.899,1.817,0.171,0.567,0.1,2.98,1.37,PASS,kvcat_llama3_p1023,8,4,base
0.323,0.093,3.463,2.143,0.166,0.293,0.077,6.63,1.78,PASS,kvcat_llama3_p1023,8,4,new
0.747,0.158,4.738,3.724,0.164,0.725,0.083,4.98,1.04,PASS,kvcat_llama3_p1023,16,0,base
0.319,0.105,3.029,2.148,0.174,0.278,0.092,6.74,1.66,PASS,kvcat_llama3_p1023,16,0,new
0.328,0.111,2.942,1.774,0.153,0.315,0.1,5.41,1.38,PASS,kvcat_llama3_p1023,16,1,new
0.753,0.145,5.186,2.117,0.2,0.725,0.078,2.81,1.38,PASS,kvcat_llama3_p1023,16,1,base
0.679,0.104,6.516,2.526,0.118,0.632,0.08,3.72,1.13,PASS,kvcat_llama3_p1023,16,2,base
0.321,0.105,3.055,0.611,0.138,0.287,0.075,1.9,1.31,PASS,kvcat_llama3_p1023,16,2,new
0.334,0.091,3.675,2.006,0.161,0.308,0.064,6.0,1.77,PASS,kvcat_llama3_p1023,16,3,new
0.72,0.145,4.971,2.059,0.178,0.632,0.11,2.86,1.23,PASS,kvcat_llama3_p1023,16,3,base
0.672,0.119,5.66,3.587,0.156,0.601,0.093,5.34,1.31,PASS,kvcat_llama3_p1023,16,4,base
0.292,0.079,3.685,2.073,0.172,0.273,0.065,7.1,2.17,PASS,kvcat_llama3_p1023,16,4,new
1.676,0.948,1.767,3.178,1.059,1.491,0.798,1.9,1.12,PASS,kvcat_llama3_p2047,1,0,base
0.775,0.802,0.966,2.298,0.912,0.738,0.777,2.96,1.14,PASS,kvcat_llama3_p2047,1,0,new
0.72,0.776,0.927,2.311,0.933,0.685,0.733,3.21,1.2,PASS,kvcat_llama3_p2047,1,1,new
1.811,0.947,1.912,3.304,1.042,1.711,0.699,1.82,1.1,PASS,kvcat_llama3_p2047,1,1,base
