native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
0.341,0.081,4.207,0.483,0.094,0.192,0.063,1.42,1.16,PASS,tr_llama3_s512,16,1,main
0.441,0.1,4.421,0.567,0.136,0.244,0.055,1.29,1.37,PASS,tr_llama3_s512,16,2,main
0.361,0.076,4.775,0.533,0.089,0.182,0.06,1.48,1.18,PASS,tr_llama3_s512,16,3,main
0.314,0.073,4.292,0.42,0.096,0.192,0.062,1.34,1.31,PASS,tr_llama3_s512,16,4,main
0.522,0.548,0.951,0.592,0.572,0.413,0.499,1.14,1.04,PASS,tr_whisper_s1500,1,0,main
0.566,0.531,1.066,0.619,0.581,0.378,0.491,1.09,1.09,PASS,tr_whisper_s1500,1,1,main
0.533,0.541,0.984,0.603,0.571,0.401,0.504,1.13,1.05,PASS,tr_whisper_s1500,1,2,main
0.521,0.539,0.966,0.598,0.568,0.392,0.513,1.15,1.05,PASS,tr_whisper_s1500,1,3,main
0.635,0.537,1.181,0.665,0.569,0.428,0.495,1.05,1.06,PASS,tr_whisper_s1500,1,4,main
0.298,0.114,2.606,0.367,0.135,0.17,0.086,1.23,1.18,PASS,tr_whisper_s1500,8,0,main
0.317,0.115,2.756,0.395,0.133,0.2,0.082,1.24,1.15,PASS,tr_whisper_s1500,8,1,main
0.149,0.098,1.526,0.199,0.118,0.098,0.084,1.33,1.21,PASS,tr_whisper_s1500,8,2,main
0.244,0.106,2.311,0.293,0.123,0.134,0.084,1.2,1.16,PASS,tr_whisper_s1500,8,3,main
0.222,0.113,1.959,0.267,0.128,0.128,0.089,1.2,1.13,PASS,tr_whisper_s1500,8,4,main
0.3,0.078,3.833,0.399,0.091,0.163,0.066,1.33,1.17,PASS,tr_whisper_s1500,16,0,main
0.266,0.095,2.814,0.386,0.107,0.173,0.078,1.45,1.13,PASS,tr_whisper_s1500,16,1,main
0.253,0.081,3.141,0.371,0.092,0.126,0.066,1.47,1.14,PASS,tr_whisper_s1500,16,2,main
0.304,0.083,3.658,0.397,0.095,0.192,0.065,1.31,1.15,PASS,tr_whisper_s1500,16,3,main
0.281,0.082,3.413,0.45,0.089,0.193,0.071,1.6,1.09,PASS,tr_whisper_s1500,16,4,main
